PUBCHEM_CID,AID,PUBCHEM_SID,PUBCHEM_ACTIVITY_SCORE,PubChem Standard Value,MolecularWeight,Standard Value,IC50 (mm),Selectivity,Inhibition (%),Ki (mm),Kd (mm),Activity (%),Standard Units,Activity Comment,Data Validity Comment,pKd_min,pKd_max,pIC50_min,pIC50_max,Type,Action,Reference (PubMed ID),IC50,Enzyme Activity [1],Enzyme Activity [2],Average Enzyme Activity,Panel ID,Panel Target,%Inhibition,High Concentration (5 x IC50),Low Concentration (IC50 / 2),Qualifier,% Degradation,Kd Qualifier,Kd,qualifier,pKi,Activity Qualifier,EC50 Qualifier,EC50
216239,1919057,46516901.0,,0.00056,464.8,,0.00056,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,
5328954,1795646,8034231.0,,0.013999999999999999,424.3,,0.013999999999999999,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,
5328955,1795646,8034232.0,,0.038,452.3,,0.038,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,
5328956,1795646,8034233.0,,0.177,480.4,,0.177,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,177.0,,,,,,,,,,,,,,,,,
5328957,1795646,8034234.0,,0.113,452.3,,0.113,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,113.0,,,,,,,,,,,,,,,,,
5328958,1795646,8034235.0,,0.162,480.4,,0.162,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,162.0,,,,,,,,,,,,,,,,,
5328959,1795646,8034236.0,,0.085,450.3,,0.085,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,
5328960,1795646,8034237.0,,0.073,464.4,,0.073,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,73.0,,,,,,,,,,,,,,,,,
5328961,1795646,8034238.0,,0.053,466.3,,0.053,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,
5328962,1795646,8034239.0,,0.124,482.4,,0.124,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,124.0,,,,,,,,,,,,,,,,,
5328965,1795646,8034242.0,,0.033,411.3,,0.033,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,
5328966,1795646,8034243.0,,0.11599999999999999,455.3,,0.11599999999999999,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,116.0,,,,,,,,,,,,,,,,,
5328967,1795646,8034244.0,,0.122,441.3,,0.122,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,122.0,,,,,,,,,,,,,,,,,
5328968,1795646,8034245.0,,0.016,397.2,,0.016,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,
5328969,1795646,8034246.0,,0.301,426.3,,0.301,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,301.0,,,,,,,,,,,,,,,,,
5328970,1795646,8034247.0,,1.1640000000000001,454.4,,1.1640000000000001,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1164.0,,,,,,,,,,,,,,,,,
5328971,1795646,8034248.0,,1.4280000000000002,482.4,,1.4280000000000002,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1428.0,,,,,,,,,,,,,,,,,
5328972,1795646,8034249.0,,1.5590000000000002,466.4,,1.5590000000000002,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1559.0,,,,,,,,,,,,,,,,,
5328973,1795646,8034250.0,,2.7760000000000002,468.3,,2.7760000000000002,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,2776.0,,,,,,,,,,,,,,,,,
5328974,1795646,8034251.0,,2.8080000000000003,484.4,,2.8080000000000003,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,2808.0,,,,,,,,,,,,,,,,,
5328975,1795646,8034252.0,,1.912,496.4,,1.912,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1912.0,,,,,,,,,,,,,,,,,
