PUBCHEM_CID,AID,PUBCHEM_SID,PUBCHEM_ACTIVITY_SCORE,PubChem Standard Value,MolecularWeight,Standard Value,IC50 (mm),Selectivity,Inhibition (%),Ki (mm),Kd (mm),Activity (%),Standard Units,Activity Comment,Data Validity Comment,pKd_min,pKd_max,pIC50_min,pIC50_max,Type,Action,Reference (PubMed ID),IC50,Enzyme Activity [1],Enzyme Activity [2],Average Enzyme Activity,Panel ID,%Inhibition,High Concentration (5 x IC50),Low Concentration (IC50 / 2),Qualifier,% Degradation,Kd Qualifier,Kd,pKi,Activity Qualifier,EC50 Qualifier,EC50
57802790,1797499,386045972,,10.5,521.4,,10.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,10500.0,,,,,,,,,,,,,,,
57802793,1797499,386053031,,10.5,493.4,,10.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,10500.0,,,,,,,,,,,,,,,
57802841,1797499,386053272,,10.5,503.4,,10.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,10500.0,,,,,,,,,,,,,,,
57802850,1797499,386045970,,10.5,517.4,,10.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,10500.0,,,,,,,,,,,,,,,
57802859,1797499,386053260,,10.5,516.4,,10.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,10500.0,,,,,,,,,,,,,,,
57802866,1797499,386053253,,10.5,516.4,,10.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,10500.0,,,,,,,,,,,,,,,
57802894,1797499,386053255,,10.5,516.4,,10.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,10500.0,,,,,,,,,,,,,,,
58013772,1797499,386053243,,10.5,529.4,,10.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,10500.0,,,,,,,,,,,,,,,
58013804,1797499,386053024,,10.5,491.4,,10.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,10500.0,,,,,,,,,,,,,,,
69667119,1797499,386053258,,10.5,515.4,,10.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,10500.0,,,,,,,,,,,,,,,
76614846,1797499,386053259,,10.5,530.5,,10.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,10500.0,,,,,,,,,,,,,,,
76900441,1803399,341104396,,98.77,445.9,,98.77,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,98770.0,,,,,,,,,,,,,,,
118115473,1802325,328082845,,50.0,285.34,,50.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50000.0,,,,,,,,,,,,,,,
135156994,1805507,447113387,,24.5,785.8,,24.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,24500.0,,,,,,,,,,,,,,,
135157112,1805507,447113388,,21.5,765.9,,21.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,21500.0,,,,,,,,,,,,,,,
135236676,1798244,404342805,,10.0,527.7,,10.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,10000.0,,,,,,,,,,,,,,,
155242975,1806610,471698541,,22.0,430.5,,22.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,22000.0,,,,,,,,,,,,,,,
155243046,1806610,471698526,,12.0,482.5,,12.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,12000.0,,,,,,,,,,,,,,,
156905950,1805507,447113338,,30.0,738.2,,30.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,30000.0,,,,,,,,,,,,,,,
156905956,1805507,447113381,,30.0,694.1,,30.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,30000.0,,,,,,,,,,,,,,,
