PUBCHEM_CID,AID,PUBCHEM_SID,PUBCHEM_ACTIVITY_SCORE,PubChem Standard Value,MolecularWeight,Standard Value,IC50 (mm),Selectivity,Inhibition (%),Ki (mm),Kd (mm),Activity (%),Standard Units,Activity Comment,Data Validity Comment,pKd_min,pKd_max,pIC50_min,pIC50_max,Type,Action,Reference (PubMed ID),IC50,Enzyme Activity [1],Enzyme Activity [2],Average Enzyme Activity,Panel ID,Panel Target,%Inhibition,High Concentration (5 x IC50),Low Concentration (IC50 / 2),Qualifier,% Degradation,Kd Qualifier,Kd,qualifier,pKi,Activity Qualifier,EC50 Qualifier,EC50
5329488,1795775,8035074.0,,0.11699999999999999,510.5,,0.11699999999999999,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,117.0,,,,,,,,,,,,,,,,,
5329489,1795775,8035075.0,,0.23399999999999999,438.5,,0.23399999999999999,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,234.0,,,,,,,,,,,,,,,,,
5329490,1795775,8035076.0,,0.21,467.0,,0.21,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,210.0,,,,,,,,,,,,,,,,,
5329491,1795775,8035077.0,,0.147,554.7,,0.147,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,147.0,,,,,,,,,,,,,,,,,
5329492,1795775,8035078.0,,0.01,573.1,,0.01,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,
5329493,1795775,8035079.0,,0.019,562.7,,0.019,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,
6914564,1804579,104065408.0,,0.205,465.4,,0.205,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,205.0,,,,,,,,,,,,,,,,,
9549213,1804579,104065404.0,,0.1,512.4,,0.1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,
9915743,1798142,104048227.0,,0.0012,557.0,,0.0012,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,
9985010,1797499,386053015.0,,0.525,549.9,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
9986023,1797499,386053063.0,,0.525,599.9,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
10005056,1797499,386053048.0,,0.05,473.4,,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
10050178,1797499,386053121.0,,0.525,466.3,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
10073317,1797499,386053167.0,,0.05,468.3,,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
10073562,1797499,386053014.0,,0.05,473.4,,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
10073622,1797499,386053010.0,,0.525,474.9,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
10075455,1797499,386053082.0,,0.525,522.8,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
10076584,1797499,386053060.0,,0.525,563.8,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
10184653,1796911,104144352.0,,0.0737,485.9,,0.0737,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,73.7,,,,,,,,,,,,,,,,,
10253661,1797499,386053049.0,,0.05,459.4,,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
10256639,1797499,386053009.0,,0.525,535.8,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
10309835,1798859,57560483.0,,0.012,409.9,,0.012,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,
10320305,1797499,386053176.0,,0.525,427.3,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
10321951,1797499,386053050.0,,0.525,459.4,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
10325018,1797499,386053051.0,,0.525,540.8,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
10325099,1797499,386053131.0,,0.05,544.3,,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
10325530,1797499,386053171.0,,0.05,562.3,,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
10345562,1797499,386053081.0,,0.05,492.7,,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
10347091,1797499,386053012.0,,0.05,535.8,,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
10347268,1797499,386053179.0,,0.05,540.8,,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
10365561,1797499,386053115.0,,0.525,433.4,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
10369165,1797499,386053054.0,,0.525,512.8,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
10369374,1797499,386053006.0,,0.05,519.4,,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
